client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20250501-020900-MACD-000-23,OKX-MACD,MACDStrategy-000,BTC/USDT.OKX,OKX-1-006,BTC/USDT.OKX-MACDStrategy-000,OKX-001,OKX-1-121,MARKET,BUY,0.0100,GTC,True,False,0.0100,TAKER,94725.0,0.0,['0.47362500 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,95b7dce2-26a0-4623-af80-bbe0c1cabbec,2025-05-01 02:09:00+00:00,2025-05-01 02:09:00+00:00
O-20250501-020900-MACD-000-24,OKX-MACD,MACDStrategy-000,BTC/USDT.OKX,OKX-1-007,BTC/USDT.OKX-MACDStrategy-000,OKX-001,OKX-1-122,MARKET,BUY,0.0100,GTC,False,False,0.0100,TAKER,94725.0,0.0,['0.47362500 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,2b857f84-5f1a-438f-86c7-7f5232c957e1,2025-05-01 02:09:00+00:00,2025-05-01 02:09:00+00:00
O-20250501-021200-MACD-000-25,OKX-MACD,MACDStrategy-000,BTC/USDT.OKX,OKX-1-008,BTC/USDT.OKX-MACDStrategy-000,OKX-001,OKX-1-124,MARKET,SELL,0.0100,GTC,True,False,0.0100,TAKER,94657.2,0.0,['0.47328600 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,2f5a43eb-c84a-4ce1-b3e0-7614ab505bd9,2025-05-01 02:12:00+00:00,2025-05-01 02:12:00+00:00
O-20250501-021200-MACD-000-26,OKX-MACD,MACDStrategy-000,BTC/USDT.OKX,OKX-1-009,BTC/USDT.OKX-MACDStrategy-000,OKX-001,OKX-1-125,MARKET,SELL,0.0100,GTC,False,False,0.0100,TAKER,94657.2,0.0,['0.47328600 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,5ba933d3-5f90-4a68-94be-a714b210b3fe,2025-05-01 02:12:00+00:00,2025-05-01 02:12:00+00:00
O-20250501-021500-MACD-000-27,OKX-MACD,MACDStrategy-000,BTC/USDT.OKX,OKX-1-010,BTC/USDT.OKX-MACDStrategy-000,OKX-001,OKX-1-127,MARKET,BUY,0.0100,GTC,True,False,0.0100,TAKER,94730.0,0.0,['0.47365000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,1ba8c1bc-5312-4615-ad36-92065037737a,2025-05-01 02:15:00+00:00,2025-05-01 02:15:00+00:00
O-20250501-021500-MACD-000-28,OKX-MACD,MACDStrategy-000,BTC/USDT.OKX,OKX-1-011,BTC/USDT.OKX-MACDStrategy-000,OKX-001,OKX-1-128,MARKET,BUY,0.0100,GTC,False,False,0.0100,TAKER,94730.0,0.0,['0.47365000 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,b68716aa-11d0-4396-b844-8d6f11cf6b7b,2025-05-01 02:15:00+00:00,2025-05-01 02:15:00+00:00
O-20250501-023900-MACD-000-29,OKX-MACD,MACDStrategy-000,ETH/USDT.OKX,OKX-2-018,ETH/USDT.OKX-MACDStrategy-000,OKX-001,OKX-2-142,MARKET,SELL,0.0100,GTC,True,False,0.0100,TAKER,1812.63,0.0,['0.00906315 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,cae1ba2c-0aa5-4f93-9074-ecb6aa78b240,2025-05-01 02:39:00+00:00,2025-05-01 02:39:00+00:00
O-20250501-023900-MACD-000-30,OKX-MACD,MACDStrategy-000,ETH/USDT.OKX,OKX-2-019,ETH/USDT.OKX-MACDStrategy-000,OKX-001,OKX-2-143,MARKET,SELL,0.0100,GTC,False,False,0.0100,TAKER,1812.63,0.0,['0.00906315 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,0ac80a14-3db8-452a-85bc-ca1dc0b0e072,2025-05-01 02:39:00+00:00,2025-05-01 02:39:00+00:00
O-20250501-024800-MACD-000-31,OKX-MACD,MACDStrategy-000,BTC/USDT.OKX,OKX-1-012,BTC/USDT.OKX-MACDStrategy-000,OKX-001,OKX-1-140,MARKET,SELL,0.0100,GTC,True,False,0.0100,TAKER,94810.8,0.0,['0.47405400 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,b10761d4-691e-4ba0-a728-199811801a28,2025-05-01 02:48:00+00:00,2025-05-01 02:48:00+00:00
O-20250501-024800-MACD-000-32,OKX-MACD,MACDStrategy-000,BTC/USDT.OKX,OKX-1-013,BTC/USDT.OKX-MACDStrategy-000,OKX-001,OKX-1-141,MARKET,SELL,0.0100,GTC,False,False,0.0100,TAKER,94810.8,0.0,['0.47405400 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,a17af4e0-ee7c-46ab-8ded-9f6ff8fcdef6,2025-05-01 02:48:00+00:00,2025-05-01 02:48:00+00:00
O-20250501-033600-MACD-000-33,OKX-MACD,MACDStrategy-000,ETH/USDT.OKX,OKX-2-020,ETH/USDT.OKX-MACDStrategy-000,OKX-001,OKX-2-163,MARKET,BUY,0.0100,GTC,True,False,0.0100,TAKER,1811.69,0.0,['0.00905845 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,af39cfd1-154c-4e1b-bd77-9125daf3c00a,2025-05-01 03:36:00+00:00,2025-05-01 03:36:00+00:00
O-20250501-033600-MACD-000-34,OKX-MACD,MACDStrategy-000,ETH/USDT.OKX,OKX-2-021,ETH/USDT.OKX-MACDStrategy-000,OKX-001,OKX-2-164,MARKET,BUY,0.0100,GTC,False,False,0.0100,TAKER,1811.69,0.0,['0.00905845 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,fbc6a9a6-c16d-4061-b1e4-92077f66b1e8,2025-05-01 03:36:00+00:00,2025-05-01 03:36:00+00:00
O-20250501-034500-MACD-000-35,OKX-MACD,MACDStrategy-000,ETH/USDT.OKX,OKX-2-022,ETH/USDT.OKX-MACDStrategy-000,OKX-001,OKX-2-168,MARKET,SELL,0.0100,GTC,True,False,0.0100,TAKER,1808.61,0.0,['0.00904305 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,40e61c13-93c0-4e03-b2ce-586cd56a3942,2025-05-01 03:45:00+00:00,2025-05-01 03:45:00+00:00
O-20250501-034500-MACD-000-36,OKX-MACD,MACDStrategy-000,ETH/USDT.OKX,OKX-2-023,ETH/USDT.OKX-MACDStrategy-000,OKX-001,OKX-2-169,MARKET,SELL,0.0100,GTC,False,False,0.0100,TAKER,1808.61,0.0,['0.00904305 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,5bbc69e8-5441-4bd1-ba1f-593d939cb9a9,2025-05-01 03:45:00+00:00,2025-05-01 03:45:00+00:00
O-20250501-040900-MACD-000-37,OKX-MACD,MACDStrategy-000,BTC/USDT.OKX,OKX-1-014,BTC/USDT.OKX-MACDStrategy-000,OKX-001,OKX-1-169,MARKET,BUY,0.0100,GTC,True,False,0.0100,TAKER,94802.9,0.0,['0.47401450 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,96109f3f-edd0-4ac0-90e6-73692bdca7ff,2025-05-01 04:09:00+00:00,2025-05-01 04:09:00+00:00
O-20250501-040900-MACD-000-38,OKX-MACD,MACDStrategy-000,BTC/USDT.OKX,OKX-1-015,BTC/USDT.OKX-MACDStrategy-000,OKX-001,OKX-1-170,MARKET,BUY,0.0100,GTC,False,False,0.0100,TAKER,94802.9,0.0,['0.47401450 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,095e0074-c55a-40d5-ad03-597c35e8acc2,2025-05-01 04:09:00+00:00,2025-05-01 04:09:00+00:00
O-20250501-041800-MACD-000-39,OKX-MACD,MACDStrategy-000,BTC/USDT.OKX,OKX-1-016,BTC/USDT.OKX-MACDStrategy-000,OKX-001,OKX-1-174,MARKET,SELL,0.0100,GTC,True,False,0.0100,TAKER,94717.9,0.0,['0.47358950 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,d9aa0ee9-feff-40c2-a1b7-4b40807e34f6,2025-05-01 04:18:00+00:00,2025-05-01 04:18:00+00:00
O-20250501-041800-MACD-000-40,OKX-MACD,MACDStrategy-000,BTC/USDT.OKX,OKX-1-017,BTC/USDT.OKX-MACDStrategy-000,OKX-001,OKX-1-175,MARKET,SELL,0.0100,GTC,False,False,0.0100,TAKER,94717.9,0.0,['0.47358950 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,c0e06534-c11d-4817-84e0-c332f293bcb9,2025-05-01 04:18:00+00:00,2025-05-01 04:18:00+00:00
O-20250501-042100-MACD-000-41,OKX-MACD,MACDStrategy-000,BTC/USDT.OKX,OKX-1-018,BTC/USDT.OKX-MACDStrategy-000,OKX-001,OKX-1-177,MARKET,BUY,0.0100,GTC,True,False,0.0100,TAKER,94781.9,0.0,['0.47390950 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,2261e640-7b52-4f12-b679-60b239a61d3b,2025-05-01 04:21:00+00:00,2025-05-01 04:21:00+00:00
O-20250501-042100-MACD-000-42,OKX-MACD,MACDStrategy-000,BTC/USDT.OKX,OKX-1-019,BTC/USDT.OKX-MACDStrategy-000,OKX-001,OKX-1-178,MARKET,BUY,0.0100,GTC,False,False,0.0100,TAKER,94781.9,0.0,['0.47390950 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,5585f233-3ab9-4616-a3bb-767dabe9a834,2025-05-01 04:21:00+00:00,2025-05-01 04:21:00+00:00
O-20250501-042400-MACD-000-43,OKX-MACD,MACDStrategy-000,BTC/USDT.OKX,OKX-1-020,BTC/USDT.OKX-MACDStrategy-000,OKX-001,OKX-1-180,MARKET,SELL,0.0100,GTC,True,False,0.0100,TAKER,94700.1,0.0,['0.47350050 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,45d5ee8c-7efb-42e8-8adf-e5726133d223,2025-05-01 04:24:00+00:00,2025-05-01 04:24:00+00:00
O-20250501-042400-MACD-000-44,OKX-MACD,MACDStrategy-000,BTC/USDT.OKX,OKX-1-021,BTC/USDT.OKX-MACDStrategy-000,OKX-001,OKX-1-181,MARKET,SELL,0.0100,GTC,False,False,0.0100,TAKER,94700.1,0.0,['0.47350050 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,d70bd1a9-d35e-4f47-a867-e0e68e8565a0,2025-05-01 04:24:00+00:00,2025-05-01 04:24:00+00:00
